X1,log(X1),X2,log(X2),Y,X3,X4,log(X4),X5,log(X5),X6,X8,X9,X10,X11,X12,X13,X14,X16,X17,X18,log(X18),X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31
507,6.228511004,205,5.323009979,168.5,428.7,43841,10.68832473,144705,11.88245247,24,28.4,27.6,29.3,2.36,36,3.9,17.5,13.4,22.3,22.3,3.104586678,57.3,6.9,76.6,64.6,54.1,21.6,11,86.84657734,2.928288531,6.131148001,0.766832392,38.45841411,3.932688732
32,3.465735903,14,2.63905733,193.7,434.9,52548,10.86948232,5657,8.640648995,12,39,38.4,39.7,2.42,63.9,10.3,28,5.4,31.3,13.4,2.595254707,62.2,3.9,61,46.3,41,27.3,13,87.96724813,2.278390886,0.462798149,6.603773585,57.8281727,7.705934455
131,4.875197323,46,3.828641396,179.7,511.7,32711,10.39546669,22574,10.02455408,32.6,37.6,35.3,40.5,2.55,39.8,34.2,41.8,1.3,39.8,7.6,2.028148247,43.8,13.5,46.6,50.82377299,30.8,42.1,26.3,49.2515882,47.47193456,0.274127578,1.109564007,41.19164619,7.192480588
160,5.075173815,56,4.025351691,165.2,487.9,54637,10.90846659,30310,10.31923297,9.2,38.9,37.1,40,2.3,57.2,7.2,28.3,8.4,30.2,19.8,2.985681938,70.8,3.2,82.9,67.9,57.3,22.6,9,92.4685182,0.64516129,0.141452475,1.145420045,52.89242769,5.95510765
298,5.697093487,139,4.934473933,193.6,417.5,34321,10.44351269,56694,10.94542366,24.3,41.5,39.8,43.2,2.47,45,25,27.5,4.6,31.7,8.2,2.104134154,45.3,9,50.7,36.7,30.8,44.4,25.9,61.72986196,30.44557051,0.325004368,2.645465665,42.47477961,5.168210629
1003,6.910750788,395,5.978885765,191.5,501.1,44800,10.70996342,181635,12.10975446,15.6,39.8,38.3,41,2.54,49,19.6,32.1,6.8,30.6,14.4,2.667228207,55.1,8.6,60.6,38.10530083,32.1,36.3,19.6,82.06874134,10.76742343,2.033612199,0.616470776,47.33223403,5.729334092
230,5.438079309,99,4.59511985,205.4,492.2,40532,10.60984706,39008,10.57152203,20.9,39.7,38.4,41.2,2.52,50.9,19,44.2,4.1,42,8.5,2.140066163,56.2,6.8,60.5,45.2,40.2,39.6,21.7,85.95274059,11.27979314,0.404495533,0.220168454,49.95081,5.810081525
1962.667684,7.58205989,16,2.772588722,151.3,453.5494221,48645,10.79230431,6282,8.74544368,11.2,44.4,40.8,48,2.25,59.8,16.5,40.7,4.2,34,18,2.890371758,60.5,2.6,79.5,59.8,47.3,27.6,11.3,97.87166455,0.381194409,0.698856417,0.142947903,55.30331224,2.550091075
55,4.007333185,26,3.258096538,188.3,398.9,52673,10.87185827,11339,9.33600339,12.6,45.2,44.9,45.5,2.49,54.4,20,43.8,2.4,29.2,14.2,2.653241965,51.5,8.3,64.4,49.7,42.6,36.1,20.5,93.41812683,0.844970204,0.978386552,0.773814818,52.94771969,4.805591962
486,6.186208624,200,5.298317367,188.2,472.8,36066,10.49310587,68628,11.13645589,20.1,46.6,45.6,47.6,2.24,54.1,12.8,34.5,5.2,39,12.1,2.493205453,52.3,7.5,57.1,40.1,34.4,47.6,24.2,95.286051,0.742804085,0.497107349,0.222841226,50.4167353,5.029215359
29,3.36729583,13,2.564949357,169.4,389.7,46551,10.74830376,5211,8.558527055,12.4,47.1,46.6,47.6,2.35,57.3,0,63.5,0,48.4,11.8,2.468099531,51.4,4.1,65.8,47.1,43.4,40.4,19.8,95.97083653,0.153491942,0.402916347,0.019186493,50.81300813,6.776556777
26,3.258096538,9,2.197224577,118.4,381.7,45784,10.73168996,4864,8.489616424,11.4,44.4,41.8,45.6,2.3,60.9,22.7,41.4,2.6,35.1,12.6,2.533696814,56.2,5.1,67.2,51.8,39.7,37,19.4,96.0375391,0.583941606,0.458811262,1.147028154,58.32908813,6.155507559
2341,7.758333467,879,6.778784898,179.7,476.6,52842,10.87506161,550064,13.21778991,14,34,33.2,34.9,2.52,47.6,12.7,27.5,14.2,21.9,24.2,3.186352633,67.2,5.7,72,60.8,52.9,26,14.8,78.9999163,11.2767481,3.147929434,3.143651598,44.9580658,5.925782154
110,4.700480366,45,3.80666249,162.6,415.4,52930,10.87672556,33897,10.43108179,14.1,26.4,26.3,26.6,2.38,42.2,1.7,17.3,9.3,26.1,27.4,3.310543013,69.5,3.1,81.2,63.93755622,56.1,20.1,9.7,92.73739636,1.295164316,2.868728439,0.602190885,45.44421907,4.882440161
236,5.463831805,94,4.543294782,177.9,487.5,50043,10.82063791,36706,10.51069551,12.9,39.4,38.3,40.4,2.37,55.8,16.3,31.9,8.3,36.8,13.4,2.595254707,63.7,5.1,72.7,55.3,48.2,30.8,13.7,95.82573179,0.49012934,0.577263445,0.313138189,52.27663799,7.218949743
250,5.521460918,97,4.574710979,175.9,461.8,37782,10.53958808,41516,10.63383417,23.2,42.6,42.2,43.5,2.42,54.1,26.1,41.4,5.8,29.8,11.9,2.4765384,51.8,8.9,49.5,35,28.3,46.4,28.7,75.10645505,0.616955386,0.866156973,8.356721185,51.01389975,4.204317269
214,5.365976015,99,4.59511985,166.2,357.1,58994,10.98519102,71180,11.17296716,16.6,31.8,31.5,32.2,3.08,53.3,23.4,32.1,2.7,30.5,8.1,2.091864062,59.1,5.9,55.6,45.7,42,33.4,22.1,87.31896286,3.451261207,0.192225858,5.567213019,55.62963308,7.530333184
117,4.762173935,43,3.761200116,159.3,493.6,52355,10.86580272,17820,9.788076701,11.5,40,37.7,43.5,2.44,47.4,14.1,44.2,14.6,35.2,13.7,2.617395833,54.9,8.3,74.6,53.4,43,32.2,12.5,79.65743648,13.05737939,3.499857265,1.741364545,42.69631298,3.664122137
165,5.105945474,76,4.33073334,194.6,433.4,44551,10.70438988,25350,10.14053401,17.5,49,48.3,50.1,2.46,55,23.3,38.4,3.7,30.9,12.5,2.525728644,46.7,6.8,54.3,37.2,28.5,42.4,22.9,88.6629343,1.683681871,1.663098963,2.136505846,55.79425738,8.072153326
506,6.226536669,215,5.370638028,194.1,461.3,31382,10.35398976,89208,11.398726,30.8,38.7,36.5,40.7,2.63,38.1,18.1,30.7,5.7,34.8,11.7,2.459588842,46.7,12.8,52,60.64546324,30.6,43,26,34.31962462,61.89345846,1.024565277,0.939552857,38.66507034,6.172501823
1195,7.085901464,510,6.234410726,187.7,445.6,41147,10.6249063,254308,12.44630141,21.2,35.9,35.1,37.1,2.53,43.6,17.2,34.8,5.8,33.3,13,2.564949357,51.7,8.8,54.7,43.3,38.8,33.1,20.5,58.13573666,33.61147142,3.489512481,2.555838527,41.36584844,5.814864465
8,2.079441542,4,1.386294361,122.6,261,35554,10.47880795,1894,7.546446274,22.5,49.5,50.7,49.1,2.54,51.1,32,46.7,0,28.8,20.8,3.034952987,56.4,4.9,57.8,39.9,37.9,42.7,15.6,97.58656873,0.157397692,0,2.203567681,53.54752343,1.58013544
1962.667684,7.58205989,7,1.945910149,123.8,453.5494221,74347,11.2164986,5903,8.683215975,11,37.2,36.4,37.6,2.79,54.3,24.3,51.6,3.3,37.5,4.7,1.547562509,59.8,12,69.1,57.3,53.7,24.4,11.3,88.44601413,0.134544231,0.807265388,2.371342079,56.90633869,11.63179916
126,4.836281907,63,4.143134726,230.1,463.6,29227,10.28284822,27005,10.20377731,34.8,34.1,32.8,35.7,2.81,29.3,23.3,29.5,4.4,28.3,9.5,2.251291799,38.2,20.1,42.3,32.6,28.1,45.9,32.2,25.78553259,73.0393035,0.383361399,0.24721436,33.19228961,6.248990796
249,5.517452896,88,4.477336814,224.4,651.3,32749,10.39662771,32477,10.38828743,25.8,39.5,37.3,41.1,2.44,29.5,14.3,43.7,12,34,9.2,2.219203484,49.3,13,53.1,67.06557325,32.3,43.3,26.3,18.14898982,77.07250257,1.319926532,1.273231018,27.0092947,4.372408594
236,5.463831805,102,4.624972813,183.8,433.2,37242,10.52519244,40971,10.62061978,20,42.5,41.3,43.5,2.47,48.9,13.4,43.3,3.2,40.9,7.5,2.014903021,43.3,9.9,54.6,39.7,37,45.6,27.1,97.9300706,0.361454493,0.132533314,0.214462999,47.52860823,4.112005292
138,4.927253685,62,4.127134385,201.9,460.4,35490,10.47700625,22747,10.03218855,23.1,44.1,43.5,44.8,2.52,45,14,53.6,2.2,39.8,8.6,2.151762203,46,12.8,52.4,33.35483877,34.7,43.2,26.3,39.11199585,57.43898217,0.268305349,0.701055911,44.17130145,2.009646302
151,5.017279837,70,4.248495242,201.4,452.9,52491,10.86839701,28701,10.26468724,10.7,40.4,38.9,41.7,2.58,57.3,17.7,38.7,4.4,44.9,11.6,2.451005098,58.1,7.4,75.1,38.88138615,55.5,28.1,13.4,97.05368377,0.475325038,1.076471411,0.492800224,58.48365534,5.038143675
493,6.200509174,182,5.204006687,172.9,476.6,39548,10.5852704,75713,11.23470516,17.5,44.3,42.6,45.8,2.43,53.8,15.8,35.5,5.6,31.8,13.7,2.617395833,47,10.4,63.5,55.25977164,37.9,39.9,18.7,88.21465263,7.498432267,0.645772459,1.523702785,52.09451499,6.598098195
79,4.369447852,33,3.496507561,172.2,434.2,62230,11.03859248,15753,9.664786102,8.8,40.5,39.4,41.5,2.48,60.7,20.2,18.5,17.2,38.9,16.4,2.797281335,64.4,5.7,80.4,63.7,55.5,28.1,12.1,97.43032473,0.581692662,1.003579647,0.204551266,58.52208835,4.930617065
63,4.143134726,25,3.218875825,183.7,453.4,40002,10.59668473,12531,9.435960853,19.3,36.9,36.1,38.2,2.7,53.7,19.3,44.2,1.4,41.9,6.3,1.840549633,48.9,8.5,52.5,38.5,31.8,39.6,24.4,85.81922708,8.455764931,0.047908017,4.175982114,52.7479746,6.25698324
21,3.044522438,14,2.63905733,195.4,329.9,38281,10.55270897,4854,8.487558386,16.3,39.1,35.9,40.8,2.58,53.5,56.7,20.8,4.2,40.7,10.5,2.351375257,60.3,4,48.3,33.3,26.3,36.8,19.8,98.80976811,0.902934537,0,0,51.43165856,10.28806584
305,5.720311777,120,4.787491743,162.8,442.5,49819,10.81615172,60338,11.00771737,15.7,36.9,35.5,39.1,2.5,46.5,13.7,29.2,5.6,22.6,16.4,2.797281335,54.5,6.4,65.7,47.6,40,38,18.8,86.23882396,1.649198004,1.617386063,5.63573653,49.3270649,4.138710893
24,3.17805383,13,2.564949357,188.6,369.7,36294,10.49940772,3615,8.192847135,20,47.6,46.8,48.4,2.3,57.8,28.9,22.6,5.4,31.6,14.3,2.660259537,56.6,4.5,51.2,33,24.3,51.4,30.5,95.75790327,1.188867874,0.081059173,0.297216968,52.80612245,5.028735632
1395,7.240649694,490,6.194405391,176,496,48552,10.79039067,314488,12.6587012,19.8,34.1,33.1,35.1,2.35,43.3,7.3,21.3,14.6,20.6,23.6,3.161246712,63,6.9,72.4,60.1,52.6,26.4,14.7,76.03874073,14.53426142,3.527339721,2.670723242,40.84865449,4.844986927
93,4.532599493,44,3.784189634,201.4,434.8,33573,10.42147745,16748,9.726034127,23.3,42.2,40.2,45.9,2.48,49.9,17.5,51.1,1.8,43.6,5.6,1.722766598,40.2,12.2,54.7,66.07119742,32.6,43.5,27,91.99266142,6.172693378,0.248564834,0.384683672,55.28741411,6.408629442
595,6.388561406,243,5.493061443,139.1,332.2,37935,10.54362945,269721,12.50514337,32.3,28.3,26.8,29.6,3.73,46.6,20.8,32.4,4.3,24.4,11.9,2.4765384,54.3,6,36,30.5,26.4,36.3,28.6,94.19527371,0.393920631,0.587652089,3.873869425,52.84922777,6.921416298
1000,6.907755279,352,5.863631176,146.9,442.1,55427,10.92282212,179589,12.09842619,12.9,42.8,40,45.6,2.51,54.4,13.2,43.4,7.9,23.4,23.1,3.139832618,50.2,7.2,66.7,45,31,38.4,16.8,73.64076537,18.61159725,1.198809941,4.019367635,54.08412277,6.319887594
43,3.761200116,20,2.995732274,209.2,429.4,37113,10.52172259,10312,9.241063545,23.9,33.6,34.2,33.2,2.72,48.5,25.9,26.4,10.8,30.5,7.7,2.041220329,44,14.6,46.9,38.9,26.1,37.5,24.5,72.43102951,24.75247525,0.807459387,0.980486398,47.60237069,6.906534326
18,2.890371758,8,2.079441542,116.7,275.7,64182,11.06947808,6193,8.731174901,10.5,39.3,38.4,40.2,2.61,55.2,8,52.8,8.7,34.3,16,2.772588722,46,2.1,72.1,38.17824514,43.2,28.3,11.6,83.6628002,8.429995099,0.130697598,4.590753145,68.73940079,10.43307087
1007,6.914730893,387,5.958424693,164,442.6,49905,10.81787648,220358,12.30300878,18,37.8,36.4,39.3,2.33,45.8,8.9,23.8,11.5,22.1,24.7,3.206803244,59,8.9,70,54.8,43.5,29.1,14.2,81.05175723,14.36475496,1.383446509,1.007081482,43.02116444,4.936553568
224,5.411646052,90,4.49980967,200.4,491.8,58900,10.98359637,37143,10.52253061,9.7,43.6,42.3,44.8,2.57,57.9,15.5,40.4,7.4,33.9,14.1,2.646174797,57.8,4.7,76.4,57.3,41.6,26.8,9.7,87.72465609,8.267344126,0.508094376,0.224318262,58.1022409,4.308202154
86,4.454347296,42,3.737669618,197.7,432.1,38280,10.55268285,13430,9.50524629,19.7,43.6,44.3,43.3,2.62,55.8,24.3,41.6,3.2,37,11.5,2.442347035,49.7,4.5,52,33.2,26.5,36.1,17.9,95.97739118,0.418410042,0.330323717,1.614915951,54.30748193,9.379671151
7241,8.887514597,2778,7.929486523,168,423.1,51951,10.85805625,2128133,14.57075563,20.4,32.5,31.4,33.6,3.33,45.4,16,33.6,6,26.2,12.3,2.509599262,52.3,12.6,54.4,46.6,41.2,35.7,26.1,62.1540609,8.549248151,6.678254261,17.03872838,51.29451023,6.007621442
206,5.327876169,77,4.343805422,193.5,532.5,37952,10.54407748,32526,10.38979505,22,40.5,40,41.1,2.51,50.9,16.1,39.5,4.2,38.1,7.8,2.054123734,48.6,11.1,58.6,39.21821313,35.9,45.3,25.6,94.52367722,2.488115083,0.080261777,0.904488486,49.14308489,6.638495093
59,4.077537444,21,3.044522438,186.2,538.3,44191,10.69627643,6328,8.752739509,14.4,51.8,50.4,53.1,2.22,52.1,28.6,41.8,4,49.1,9.8,2.282382386,46.2,8.7,74.2,49.4,40.9,39.2,13.8,94.67168155,2.4604294,0.48581727,0.51716032,51.59235669,4.06278855
312,5.743003188,131,4.875197323,185.2,461,49056,10.80071778,52021,10.85940276,13.9,40.5,38.1,43,2.43,55,15.6,43.1,9,33.8,18.5,2.917770732,56.4,5.3,67.2,50.44917484,44.9,33.2,15.5,78.41383308,2.573415765,1.71561051,0.852009274,51.87848198,6.522329921
183,5.209486153,77,4.343805422,191,456.9,60121,11.00411448,34602,10.45166676,11.5,43.7,42.8,44.4,2.64,55.1,14.8,50.4,2.7,37,13,2.564949357,58.3,8.1,67.4,51.9,46.1,30.2,14.3,78.38815983,16.67451303,0.517860295,1.894897899,58.25863279,5.015546843
2294,7.738052298,871,6.769641977,181.6,484.4,47199,10.76212798,451324,13.01994076,17.7,37.3,35.9,38.7,2.39,49,9.5,27.4,12.1,26.5,21,3.044522438,59.9,6.5,71.1,58,51,29.4,16.4,85.65156139,9.069468075,2.013061834,0.913698273,46.71082117,4.759828048
492,6.198478716,189,5.241747015,186.7,484.6,51510,10.84953124,88373,11.38932177,11.1,43.3,42.6,44,2.64,57.1,15,37.2,4.7,37.1,11.2,2.415913778,53,10.5,74.7,56,50.2,33.3,14,95.75225251,1.271604239,0.470334901,0.595001983,59.89229545,5.407671348
36,3.583518938,13,2.564949357,137.3,408.9,50358,10.82691277,6322,8.751790893,12.5,45.5,44.8,46.1,2.55,57.4,18.8,41.3,6.7,40.2,12.2,2.501435952,57.9,6.5,74.6,51.60942047,45.7,32.5,12.5,94.36309243,3.857660211,0,0,60.35044825,0.702028081
177,5.176149733,64,4.158883083,167.7,483.4,47991,10.77876877,26238,10.17496402,12.6,46.7,45.7,47.5,2.39,56.1,11.2,40.9,5.8,31.8,16.9,2.827313622,55.1,7.8,71.3,50.6,43.3,37.9,16.7,95.16721512,0.325246805,0.482130558,0.436213362,53.80767093,4.386136675
275,5.616771098,119,4.779123493,197.2,466.2,45232,10.71956008,45495,10.72535771,12.5,41.9,41.1,43.3,2.44,56.6,22.9,33.8,7.9,42.9,9,2.197224577,56.3,6.3,66.2,50.1,45.7,33.9,16.8,96.706247,0.373248352,0.578425809,0.550050203,55.52070942,5.305999397
345,5.843544417,133,4.890349128,172,462.2,49920,10.818177,64717,11.0777792,14.7,40.1,39.5,41,2.42,47.2,6.5,24.2,8.2,33.7,13,2.564949357,55.6,5.4,76.5,59.3,53.9,32.9,15.8,93.28714063,2.44903628,1.359546921,0.729927007,49.85552712,5.026285421
244,5.497168225,114,4.736198448,193.7,416.7,51199,10.84347528,54648,10.9086679,12.1,38.5,37.2,39.7,2.7,56.4,21.5,38.9,3.8,37.7,12.7,2.541601993,57.4,4.3,64.5,49.6,42.9,32.2,17,85.5051108,2.109602328,0.302171156,1.359770201,57.50165909,4.518903132
1962.667684,7.58205989,30,3.401197382,143.8,453.5494221,47723,10.77316874,12103,9.401208635,11.9,45,43.7,46,2.4,57.9,15.2,20.9,8.1,36.4,14.7,2.687847494,58.4,5,74.9,56.5,49.1,33.4,15.3,95.76891782,0.81366965,0.18714402,0.170870627,57.88269551,6.021594684
69,4.234106505,27,3.295836866,181.6,465.5,46874,10.75521843,11554,9.354786976,13.4,40.7,40.5,41,2.41,64,17.9,35.3,2.7,35.4,17.1,2.839078464,57.2,5.9,70.3,54.2,48.2,34.3,16.2,84.06049018,1.494872241,0.165131236,0.425864766,60.8137045,8.309915697
102,4.624972813,50,3.912023005,185,380.6,33136,10.40837558,22084,10.00260864,24.4,39.1,37.6,39.8,2.81,45.3,26.3,38.3,4.6,38,7.7,2.041220329,51,7.9,48.2,35.8,30.3,44.6,30.3,65.41905444,29.81733524,0.026862464,2.001253582,46.37607056,6.208291203
102,4.624972813,45,3.80666249,151.6,341,40680,10.61349185,32874,10.40043735,24.9,35.3,34.9,36.3,2.85,39.9,25.6,40.9,0.5,33.1,6.3,1.840549633,39.3,7,52.1,39.5,35.3,35.8,23.1,82.20704859,8.720413975,0.232707676,6.797513702,47.26089934,8.618283322
1962.667684,7.58205989,12,2.48490665,122.5,453.5494221,54536,10.90661631,6396,8.763428074,10.3,43.7,41.9,45.7,2.29,56,16.1,28.6,7,30.5,13.5,2.602689685,64.6,2,79.1,40.36325065,49.2,30.4,12.7,96.70548575,0.321789764,0.229849831,0.030646644,51.9092219,7.810107198
376,5.929589143,170,5.135798437,203.3,453.7,38484,10.55799785,68348,11.13236758,21.7,40.4,38.2,42.8,2.66,45,24.3,42.9,1.5,36.1,9,2.197224577,46.1,14.8,53.8,39.4,33.2,43.2,25.5,77.20113264,17.92319264,0.800814087,0.95566764,45.64703897,4.905335628
760,6.633318433,318,5.762051383,199.7,480.9,40877,10.61832284,156761,11.96247763,23.6,34.7,33.5,35.9,2.55,41.9,17,29.6,5.4,32.9,15.9,2.766319109,53.8,8,55.1,43.6,38.7,35.6,22.5,60.10631127,37.27314164,0.898766764,0.479556266,41.69526781,6.070254725
102,4.624972813,32,3.465735903,148.3,410.8,83603,11.33383468,24735,10.11597452,5.9,45.1,45.1,45.2,2.82,62.6,18.2,32.9,11,27,22,3.091042453,64.7,6.7,77.9,63.1,51.7,22.9,10.8,95.27562356,0.528191155,0.838398659,0.301823517,68.195319,3.311386522
83,4.418840608,37,3.610917913,210.1,469.4,41068,10.62298451,13840,9.535318229,16.4,41.9,41.1,43.2,2.53,51.9,8.4,64.3,3.2,42.2,10.1,2.312535424,51.3,12.9,62.2,46.9,39.8,39.8,21.8,95.24914775,1.610212519,0.456952201,1.015449336,51.72605791,6.944
866,6.763884909,334,5.811140993,180,460.1,59492,10.99359713,166397,12.02213178,13.3,41.8,40.9,42.5,2.89,49.6,9.7,35.3,6.7,36.6,14.9,2.701361213,56,12,70.6,55,48.5,31.6,16,78.09877234,13.61440544,2.211089998,2.690596315,55.42524041,4.318836947
2459,7.807510042,909,6.812345094,163.7,439.2,54872,10.91275848,682545,13.43358374,15.9,34.1,33.8,34.3,2.3,39.2,15.2,22.4,18.5,17.7,27.3,3.306886702,66.3,6.3,62.1,52.9,44.6,31.1,21.1,76.08080609,9.706397559,3.555738901,5.976719916,33.83092514,5.543167508
107,4.672828834,48,3.871201011,205.1,461.3,31835,10.36832159,19543,9.880372445,26.5,37.6,36.5,38.7,2.76,44.7,21,36.5,0.8,36.8,8.6,2.151762203,43.9,13.7,50.5,37.9,33.5,44.7,28.6,62.79081711,35.85845617,0.179754507,0.097581018,45.0853781,6.243007384
61,4.110873864,25,3.218875825,218.9,529.5,34604,10.45172456,9113,9.117457244,29.8,41,39.4,41.9,2.68,38.7,30.7,29.7,2.7,31.5,6.2,1.824549292,44.1,14.4,40.5,30.3,24.8,48.1,34,36.85010312,61.79311842,0.466731792,0.37989797,39.00966184,4.011887073
297,5.693732139,113,4.727387819,185.3,514.4,49040,10.80039157,35567,10.47917352,12.6,49.9,48.9,51,2.33,56.8,11,45.1,5.8,34.3,15.5,2.740840024,54.7,6.3,71.8,67.05505796,41.6,41.2,17.5,96.32289008,0.737665835,0.628278125,0.266457241,55.73650625,4.641415709
1031,6.938284484,426,6.054439346,182.4,447.8,44325,10.69930413,259964,12.46829844,21.6,30.8,29.9,31.8,2.46,37.7,5.5,13.7,14.7,21.5,21.5,3.068052935,54.6,7.9,71.3,66.48976991,47.3,25.2,13.2,69.8660205,19.89630947,5.656562478,0.946825166,38.96880138,3.204859373
181,5.198497031,74,4.304065093,154.6,405.4,53150,10.88087338,38785,10.56578885,11.8,38.1,36.7,39.1,2.29,54,14.6,25.3,8.3,33.3,20.8,3.034952987,68.9,2.5,77.2,61.5,51.9,27.7,13.3,92.00735681,1.505517604,1.860220704,0.084077772,49.43735934,4.909236214
137,4.919980926,60,4.094344562,174,395.7,46046,10.73739618,37666,10.53651311,20,32,32.5,31.7,3.02,45.7,20.8,30,1.6,32.9,8.1,2.091864062,42.4,14.1,55.7,42.9,38.7,41.9,28.4,77.04440345,2.090517818,0.644264442,3.980538402,52.38616662,9.188988095
64,4.158883083,16,2.772588722,146.9,572.8,82596,11.32171653,10925,9.29880902,7.1,39.5,38,40.4,2.62,49.2,19.8,22.7,11.7,25.4,26.2,3.265759411,72.4,3,74,58.4,42,32.5,17.1,85.70481243,9.425918909,1.13679424,1.913603638,44.94009686,4.179364388
152,5.023880521,61,4.110873864,205.9,518.9,41139,10.62471186,27608,10.22586086,20.8,38.8,36.7,41.1,2.61,48.4,21.7,39.1,4.6,39.1,10,2.302585093,51.1,10.4,59.6,37.33958331,41.7,39.1,22.5,94.36448633,2.977877572,0.025766555,1.255199323,48.1167057,5.746046657
1195,7.085901464,468,6.148468296,166.8,427.2,54098,10.8985525,281833,12.54906998,13.8,38.5,37.3,39.6,2.54,52,14.9,35.9,8.3,28,18.7,2.928523524,61.1,7.5,70.4,56.2,50,29.3,15.3,79.93850491,14.51561661,1.570607976,1.432207506,51.01043728,5.524669383
570,6.345636361,171,5.141663557,150.6,516.8,47351,10.76534322,96165,11.47382075,13.6,42.1,41.4,42.9,2.48,56.3,16.7,40.3,1.9,29.9,20.4,3.015534901,58.9,7,65.8,50.4,40.4,31.9,15.5,94.93641049,0.307501098,0.515358983,0.691073897,54.5518245,6.812139453
369,5.910796644,168,5.123963979,206.8,451.3,35640,10.48122388,67548,11.12059374,25.3,40.8,39,42.2,2.52,45.1,21.3,33.6,6.1,36.5,11.6,2.451005098,48.1,15.9,55.5,41.9,37.6,40.9,24.6,56.63260799,40.62306764,0.593327641,0.472600925,43.48336299,6.092582124
